"Project","Client","Description","Task","User","Email","Tags","Billable","Start Date","Start Time","End Date","End Time","Duration (h)","Duration (decimal)","Billable  Rate (CHF)","Billable Amount (CHF)"
"STAT","","","","","","","","2020-04-23","20:53:45","2020-04-23","21:23:08","00:29:23","0.49","",""
"DBMS","","","","","","","","2020-04-22","21:45:30","2020-04-22","22:08:10","00:22:40","0.38","",""
"DBMS","","","","","","","","2020-04-20","17:27:24","2020-04-20","17:47:30","00:20:06","0.34","",""
"WIAR","","","","","","","","2020-04-20","13:50:42","2020-04-20","14:54:47","01:04:05","1.07","",""
"KOMM","","","","","","","","2020-04-19","21:03:37","2020-04-19","21:33:57","00:30:20","0.51","",""
"KOMM","","","","","","","","2020-04-19","13:45:30","2020-04-19","14:36:10","00:50:40","0.84","",""
"DBMS","","","","","","","","2020-04-19","10:19:48","2020-04-19","10:34:40","00:14:52","0.25","",""
"KOMM","","","","","","","","2020-04-18","20:43:07","2020-04-18","21:03:00","00:19:53","0.33","",""
"DBMS","","","","","","","","2020-04-18","15:04:15","2020-04-18","17:13:37","02:09:22","2.16","",""
"STAT","","","","","","","","2020-04-17","21:20:30","2020-04-17","21:43:58","00:23:28","0.39","",""
"ENG","","","","","","","","2020-04-17","17:06:06","2020-04-17","17:54:44","00:48:38","0.81","",""
"WIAR","","","","","","","","2020-04-17","14:23:18","2020-04-17","15:11:22","00:48:04","0.80","",""
"STAT","","","","","","","","2020-04-15","13:48:27","2020-04-15","14:33:58","00:45:31","0.76","",""
"STAT","","","","","","","","2020-04-13","14:04:58","2020-04-13","14:30:13","00:25:15","0.42","",""
"STAT","","","","","","","","2020-04-13","10:14:22","2020-04-13","10:49:46","00:35:24","0.59","",""
"ENG","","","","","","","","2020-04-07","10:18:14","2020-04-07","10:58:18","00:40:04","0.67","",""
"ENG","","","","","","","","2020-04-06","21:27:21","2020-04-06","21:45:00","00:17:39","0.29","",""
"DBMS","","","","","","","","2020-04-06","18:06:42","2020-04-06","19:08:02","01:01:20","1.02","",""
"DBMS","","","","","","","","2020-04-06","15:33:39","2020-04-06","16:47:32","01:13:53","1.23","",""
"DBMS","","","","","","","","2020-04-06","13:50:10","2020-04-06","14:23:23","00:33:13","0.55","",""
"DBMS","","","","","","","","2020-04-06","11:24:29","2020-04-06","11:38:25","00:13:56","0.23","",""
"IRGR","","","","","","","","2020-04-04","19:25:00","2020-04-04","19:42:29","00:17:29","0.29","",""
"IRGR","","","","","","","","2020-04-04","16:39:38","2020-04-04","17:32:01","00:52:23","0.87","",""
"IRGR","","","","","","","","2020-04-04","13:54:48","2020-04-04","14:37:30","00:42:42","0.71","",""
"IRGR","","","","","","","","2020-04-03","16:41:32","2020-04-03","17:18:42","00:37:10","0.62","",""
"DBMS","","","","","","","","2020-03-31","22:07:02","2020-03-31","22:20:37","00:13:35","0.23","",""
"ENG","","","","","","","","2020-03-30","17:03:37","2020-03-30","17:19:03","00:15:26","0.26","",""
"IRGR","","","","","","","","2020-03-30","14:28:58","2020-03-30","15:50:30","01:21:32","1.36","",""
"DBMS","","","","","","","","2020-03-29","20:53:31","2020-03-29","21:19:27","00:25:56","0.43","",""
"IRES","","","","","","","","2020-03-27","16:37:10","2020-03-27","17:02:15","00:25:05","0.42","",""
"IRES","","","","","","","","2020-03-27","13:26:41","2020-03-27","13:42:54","00:16:13","0.27","",""
"DBMS","","","","","","","","2020-03-26","20:51:27","2020-03-26","21:06:12","00:14:45","0.25","",""
"STAT","","","","","","","","2020-03-25","19:46:51","2020-03-25","20:24:25","00:37:34","0.63","",""
"IRGR","","","","","","","","2020-03-24","14:18:19","2020-03-24","14:30:34","00:12:15","0.20","",""
"IRGR","","","","","","","","2020-03-24","11:39:53","2020-03-24","12:54:22","01:14:29","1.24","",""
"ENG","","","","","","","","2020-03-23","20:08:20","2020-03-23","20:46:16","00:37:56","0.63","",""
"DBMS","","","","","","","","2020-03-22","13:26:57","2020-03-22","14:01:36","00:34:39","0.58","",""
"DBMS","","","","","","","","2020-03-16","14:06:09","2020-03-16","15:33:46","01:27:37","1.46","",""
"DBMS","","","","","","","","2020-03-16","10:53:04","2020-03-16","12:53:47","02:00:43","2.01","",""
"DBMS","","","","","","","","2020-03-15","21:24:32","2020-03-15","23:05:00","01:40:28","1.67","",""
"STAT","","","","","","","","2020-03-14","15:31:45","2020-03-14","16:11:15","00:39:30","0.66","",""
"DBMS","","","","","","","","2020-03-10","19:43:07","2020-03-10","20:00:43","00:17:36","0.29","",""
"DBMS","","","","","","","","2020-03-10","14:16:38","2020-03-10","14:37:16","00:20:38","0.34","",""
"ENG","","","","","","","","2020-03-09","20:13:58","2020-03-09","20:48:00","00:34:02","0.57","",""
"STAT","","","","","","","","2020-03-09","10:50:08","2020-03-09","11:37:17","00:47:09","0.79","",""
"DBMS","","","","","","","","2020-03-09","10:07:55","2020-03-09","10:27:36","00:19:41","0.33","",""
"DBMS","","","","","","","","2020-03-08","16:05:28","2020-03-08","16:48:49","00:43:21","0.72","",""
"WIAR","","","","","","","","2020-03-08","15:08:00","2020-03-08","16:04:57","00:56:57","0.95","",""
"DBMS","","","","","","","","2020-03-08","11:37:00","2020-03-08","12:06:37","00:29:37","0.49","",""
"WIAR","","","","","","","","2020-03-08","10:47:00","2020-03-08","11:18:20","00:31:20","0.52","",""
"WIAR","","","","","","","","2020-03-07","20:26:11","2020-03-07","21:24:00","00:57:49","0.96","",""
"WIAR","","","","","","","","2020-03-07","15:49:06","2020-03-07","17:02:15","01:13:09","1.22","",""
"DBMS","","","","","","","","2020-03-06","21:13:51","2020-03-06","23:16:00","02:02:09","2.04","",""
"DBMS","","","","","","","","2020-03-03","14:13:25","2020-03-03","14:35:47","00:22:22","0.37","",""
"KOMM","","","","","","","","2020-03-03","11:04:54","2020-03-03","11:39:12","00:34:18","0.57","",""
"KOMM","","","","","","","","2020-03-02","14:29:09","2020-03-02","15:10:58","00:41:49","0.70","",""
"ENG","","","","","","","","2020-03-02","13:56:31","2020-03-02","14:11:29","00:14:58","0.25","",""
"DBMS","","","","","","","","2020-03-02","11:23:33","2020-03-02","11:49:57","00:26:24","0.44","",""
"KOMM","","","","","","","","2020-03-02","10:05:41","2020-03-02","10:46:27","00:40:46","0.68","",""
"DBMS","","","","","","","","2020-03-01","20:12:46","2020-03-01","20:45:19","00:32:33","0.54","",""
"KOMM","","","","","","","","2020-03-01","17:50:41","2020-03-01","18:27:54","00:37:13","0.62","",""
"KOMM","","","","","","","","2020-03-01","14:40:27","2020-03-01","15:12:05","00:31:38","0.53","",""
"KOMM","","","","","","","","2020-03-01","11:46:17","2020-03-01","12:40:00","00:53:43","0.90","",""
"DBMS","","","","","","","","2020-02-29","16:47:09","2020-02-29","17:50:09","01:03:00","1.05","",""
"DBMS","","","","","","","","2020-02-29","14:17:14","2020-02-29","15:19:13","01:01:59","1.03","",""
"DBMS","","","","","","","","2020-02-29","11:00:59","2020-02-29","12:32:11","01:31:12","1.52","",""
"ENG","","","","","","","","2020-02-24","14:33:24","2020-02-24","14:45:17","00:11:53","0.20","",""
"WIM","","","","","","","","2020-02-19","21:51:07","2020-02-19","22:55:07","01:04:00","1.07","",""
"STAT","","","","","","","","2020-02-18","20:27:24","2020-02-18","20:39:57","00:12:33","0.21","",""
"STAT","","","","","","","","2020-02-17","17:22:53","2020-02-17","17:58:53","00:36:00","0.60","",""
"STAT","","","","","","","","2020-02-16","21:57:16","2020-02-16","22:29:38","00:32:22","0.54","",""
"STAT","","","","","","","","2020-02-15","13:24:31","2020-02-15","14:07:30","00:42:59","0.72","",""
